Date,Days_Since_Start,Smartphone_Users_Millions,Data_Consumption_PB
2014-05-05,124,201.71,155.7
2014-05-06,125,203.44,153.12
2014-05-07,126,202.87,143.24
2014-05-08,127,202.63,164.51
2014-05-09,128,203.85,137.34
2014-05-10,129,202.5,155.89
2014-05-11,130,200.72,138.57
2014-05-12,131,201.24,156.89
2014-05-13,132,200.94,169.95
2014-05-14,133,202.41,155.31
2014-05-15,134,199.85,156.51
2014-05-16,135,198.36,156.29
2014-05-17,136,202.22,166.66
2014-05-18,137,199.38,146.91
2014-05-19,138,198.17,161.83
2014-05-20,139,202.83,163.46
2014-05-21,140,200.68,152.44
2014-05-22,141,203.11,154.91
2014-05-23,142,201.07,175.22
2014-05-24,143,199.9,169.44
2014-05-25,144,199.67,166.32
2014-05-26,145,201.15,154.87
2014-05-27,146,201.64,160.18
2014-05-28,147,200.56,149.76
2014-05-29,148,201.66,146.05
2014-05-30,149,199.16,156.97
2014-05-31,150,202.28,158.19
2014-06-01,151,198.68,148.84
2014-06-02,152,201.89,151.69
2014-06-03,153,203.69,169.03
2014-06-04,154,204.49,161.36
2014-06-05,155,205.75,151.23
2014-06-06,156,199.23,182.23
2014-06-07,157,203.87,148.15
2014-06-08,158,204.78,168.42
2014-06-09,159,204.35,155.91
2014-06-10,160,200.54,169.7
2014-06-11,161,203.24,165.81
2014-06-12,162,206.15,177.6
2014-06-13,163,199.45,161.41
2014-06-14,164,203.41,157.73
2014-06-15,165,204.7,180.78
2014-06-16,166,201.1,162.9
2014-06-17,167,203.67,163.46
2014-06-18,168,200.38,161.42
2014-06-19,169,200.91,156.11
2014-06-20,170,200.92,166.92
2014-06-21,171,202.95,181.83
2014-06-22,172,202.4,179.58
2014-06-23,173,204.5,169.31
2014-06-24,174,200.73,169.79
2014-06-25,175,202.36,172.14
2014-06-26,176,204.56,160.08
2014-06-27,177,203.78,180.74
2014-06-28,178,200.02,165.35
2014-06-29,179,204.02,147.89
2014-06-30,180,201.74,170.42
2014-07-01,181,203.49,156.54
2014-07-02,182,203.33,168.57
2014-07-03,183,205.18,173.82
2014-07-04,184,202.99,162.22
2014-07-05,185,199.07,164.96
2014-07-06,186,200.05,176.51
2014-07-07,187,204.27,152.61
2014-07-08,188,202.3,145.99
2014-07-09,189,205.11,165.89
2014-07-10,190,203.4,163.34
2014-07-11,191,201.37,184.91
2014-07-12,192,205.04,177.04
2014-07-13,193,201.28,169.36
2014-07-14,194,198.8,161.12
2014-07-15,195,207.05,149.39
2014-07-16,196,199.12,149.15
2014-07-17,197,204.23,163.23
2014-07-18,198,204.85,168.84
2014-07-19,199,203.28,161.48
2014-07-20,200,199.63,163.95
2014-07-21,201,205.05,174.17
2014-07-22,202,200.15,156.17
2014-07-23,203,200.36,159.2
2014-07-24,204,202.34,155.36
2014-07-25,205,204.65,179.0
2014-07-26,206,203.69,145.92
2014-07-27,207,204.73,172.98
2014-07-28,208,202.23,172.69
2014-07-29,209,202.79,145.16
2014-07-30,210,200.88,159.11
2014-07-31,211,202.53,176.09
2014-08-01,212,204.37,157.72
2014-08-02,213,202.6,159.57
2014-08-03,214,204.16,166.18
2014-08-04,215,202.08,178.11
2014-08-05,216,202.06,171.14
2014-08-06,217,203.33,159.14
2014-08-07,218,202.88,151.87
2014-08-08,219,204.47,151.83
2014-08-09,220,203.66,169.61
2014-08-10,221,206.8,147.09
2014-08-11,222,202.89,159.88
2014-08-12,223,202.89,171.6
2014-08-13,224,201.28,152.38
2014-08-14,225,203.42,162.89
2014-08-15,226,204.76,166.08
2014-08-16,227,201.92,172.48
2014-08-17,228,203.32,152.59
2014-08-18,229,204.87,168.03
2014-08-19,230,203.2,165.45
2014-08-20,231,202.43,166.45
2014-08-21,232,205.43,152.07
2014-08-22,233,203.69,171.53
2014-08-23,234,204.3,158.54
2014-08-24,235,205.87,167.1
2014-08-25,236,205.83,159.75
2014-08-26,237,202.86,185.28
2014-08-27,238,202.52,166.2
2014-08-28,239,204.15,188.37
2014-08-29,240,203.33,160.09
2014-08-30,241,199.82,160.77
2014-08-31,242,206.18,183.41
2014-09-01,243,203.68,163.02
2014-09-02,244,205.13,172.3
2014-09-03,245,201.33,176.4
2014-09-04,246,206.27,165.14
2014-09-05,247,202.53,159.12
2014-09-06,248,203.5,164.2
2014-09-07,249,200.93,174.77
2014-09-08,250,203.42,170.95
2014-09-09,251,203.31,179.49
2014-09-10,252,203.41,164.07
2014-09-11,253,204.67,162.97
2014-09-12,254,203.93,155.89
2014-09-13,255,205.78,165.67
2014-09-14,256,202.9,160.48
2014-09-15,257,201.86,164.37
2014-09-16,258,203.83,157.76
2014-09-17,259,205.14,161.09
2014-09-18,260,206.39,166.14
2014-09-19,261,205.54,178.26
2014-09-20,262,200.4,161.17
2014-09-21,263,204.7,162.24
2014-09-22,264,206.88,179.98
2014-09-23,265,204.1,180.97
2014-09-24,266,202.96,163.65
2014-09-25,267,204.62,165.42
2014-09-26,268,203.01,148.62
2014-09-27,269,205.31,153.02
2014-09-28,270,204.02,167.1
2014-09-29,271,206.85,183.71
2014-09-30,272,205.08,186.88
2014-10-01,273,202.65,174.77
2014-10-02,274,205.32,163.86
2014-10-03,275,206.0,174.4
2014-10-04,276,203.0,152.24
2014-10-05,277,203.3,166.36
2014-10-06,278,199.56,152.39
2014-10-07,279,205.99,169.41
2014-10-08,280,203.02,181.34
2014-10-09,281,199.97,186.34
2014-10-10,282,200.69,167.34
2014-10-11,283,203.8,171.66
2014-10-12,284,205.78,152.77
2014-10-13,285,204.1,161.46
2014-10-14,286,205.23,184.1
2014-10-15,287,202.1,178.04
2014-10-16,288,201.64,174.41
2014-10-17,289,206.11,174.16
2014-10-18,290,205.33,185.53
2014-10-19,291,204.3,165.72
2014-10-20,292,206.94,168.51
2014-10-21,293,202.49,194.94
2014-10-22,294,203.57,159.19
2014-10-23,295,206.48,174.6
2014-10-24,296,208.12,167.69
2014-10-25,297,204.47,183.53
2014-10-26,298,207.83,168.62
2014-10-27,299,203.28,164.19
2014-10-28,300,205.16,166.05
2014-10-29,301,204.17,176.46
2014-10-30,302,201.35,156.11
2014-10-31,303,205.06,154.32
2014-11-01,304,206.43,169.05
2014-11-02,305,204.28,165.0
2014-11-03,306,204.45,174.1
2014-11-04,307,207.39,167.63
2014-11-05,308,202.12,160.84
2014-11-06,309,201.64,169.4
2014-11-07,310,203.34,172.2
2014-11-08,311,202.27,177.28
2014-11-09,312,207.37,171.83
2014-11-10,313,205.31,151.43
2014-11-11,314,202.98,167.24
2014-11-12,315,203.5,168.22
2014-11-13,316,210.46,172.75
2014-11-14,317,203.53,173.55
2014-11-15,318,203.25,165.18
2014-11-16,319,205.39,180.9
2014-11-17,320,206.08,167.4
2014-11-18,321,205.26,183.69
2014-11-19,322,203.01,156.79
2014-11-20,323,202.53,143.97
2014-11-21,324,206.05,160.74
2014-11-22,325,204.77,197.88
2014-11-23,326,201.61,164.29
2014-11-24,327,207.25,170.3
2014-11-25,328,206.47,173.53
2014-11-26,329,204.45,164.97
2014-11-27,330,204.43,171.89
2014-11-28,331,205.43,171.31
2014-11-29,332,203.61,189.34
2014-11-30,333,202.3,179.67
2014-12-01,334,205.66,173.1
2014-12-02,335,202.15,174.6
2014-12-03,336,205.82,176.65
2014-12-04,337,202.17,156.88
2014-12-05,338,204.87,181.1
2014-12-06,339,204.81,163.54
2014-12-07,340,208.67,180.92
2014-12-08,341,202.99,169.9
2014-12-09,342,202.3,177.05
2014-12-10,343,203.85,183.49
2014-12-11,344,202.91,174.4
2014-12-12,345,204.0,164.58
2014-12-13,346,206.03,167.91
2014-12-14,347,206.75,177.33
2014-12-15,348,208.54,168.94
2014-12-16,349,203.76,165.48
2014-12-17,350,210.53,173.55
2014-12-18,351,209.23,170.14
2014-12-19,352,204.87,175.52
2014-12-20,353,200.71,162.45
2014-12-21,354,205.14,171.47
2014-12-22,355,205.47,163.49
2014-12-23,356,200.74,149.7
2014-12-24,357,205.5,178.87
2014-12-25,358,204.97,180.27
2014-12-26,359,203.81,164.58
2014-12-27,360,206.65,179.93
2014-12-28,361,207.43,175.63
2014-12-29,362,204.46,158.54
2014-12-30,363,205.9,183.19
2014-12-31,364,204.15,150.02
2015-01-01,365,203.9,169.26
2015-01-02,366,205.65,178.44
2015-01-03,367,206.55,160.92
2015-01-04,368,204.39,186.34
2015-01-05,369,201.11,161.79
2015-01-06,370,206.72,184.74
2015-01-07,371,202.37,166.86
2015-01-08,372,205.82,178.43
2015-01-09,373,209.15,173.73
2015-01-10,374,205.58,195.2
2015-01-11,375,203.25,173.73
2015-01-12,376,202.72,179.53
2015-01-13,377,208.0,180.75
2015-01-14,378,205.64,173.61
2015-01-15,379,206.76,170.08
2015-01-16,380,207.55,177.38
2015-01-17,381,205.62,181.75
2015-01-18,382,205.11,180.53
2015-01-19,383,203.85,175.94
2015-01-20,384,199.59,165.79
2015-01-21,385,202.74,176.77
2015-01-22,386,205.65,162.13
2015-01-23,387,205.45,171.73
2015-01-24,388,206.63,152.45
2015-01-25,389,205.58,165.28
2015-01-26,390,206.17,171.05
2015-01-27,391,207.44,159.54
2015-01-28,392,204.11,159.57
2015-01-29,393,205.32,181.46
2015-01-30,394,202.7,175.04
2015-01-31,395,207.87,185.12
2015-02-01,396,206.02,184.48
2015-02-02,397,206.93,179.98
2015-02-03,398,209.05,183.27
2015-02-04,399,208.14,177.56
2015-02-05,400,205.88,185.67
2015-02-06,401,207.59,158.95
2015-02-07,402,203.17,168.99
2015-02-08,403,206.91,184.11
2015-02-09,404,206.34,181.76
2015-02-10,405,202.84,171.23
2015-02-11,406,208.76,172.03
2015-02-12,407,204.7,180.49
2015-02-13,408,207.49,172.66
2015-02-14,409,205.3,161.39
2015-02-15,410,208.14,186.56
2015-02-16,411,208.79,171.66
2015-02-17,412,204.52,173.9
2015-02-18,413,203.13,154.74
2015-02-19,414,205.95,147.6
2015-02-20,415,207.92,179.35
2015-02-21,416,205.5,189.52
2015-02-22,417,205.03,149.75
2015-02-23,418,207.25,169.2
2015-02-24,419,200.76,174.78
2015-02-25,420,204.97,174.47
2015-02-26,421,203.55,172.07
2015-02-27,422,206.92,173.86
2015-02-28,423,204.87,162.9
2015-03-01,424,204.13,182.96
2015-03-02,425,205.67,182.85
2015-03-03,426,203.45,175.13
2015-03-04,427,206.38,150.86
2015-03-05,428,205.06,189.59
2015-03-06,429,205.68,172.76
2015-03-07,430,205.02,178.07
2015-03-08,431,208.29,194.7
2015-03-09,432,206.26,186.94
2015-03-10,433,207.54,173.99
2015-03-11,434,207.47,185.58
2015-03-12,435,204.91,178.82
2015-03-13,436,207.68,169.24
2015-03-14,437,207.25,176.09
2015-03-15,438,207.2,157.04
2015-03-16,439,205.79,157.88
2015-03-17,440,205.75,175.56
2015-03-18,441,208.19,189.76
2015-03-19,442,210.99,168.04
2015-03-20,443,204.98,185.11
2015-03-21,444,207.73,176.82
2015-03-22,445,205.94,191.91
2015-03-23,446,208.26,172.21
2015-03-24,447,207.58,204.92
2015-03-25,448,208.84,180.83
2015-03-26,449,201.15,167.81
2015-03-27,450,205.55,176.26
2015-03-28,451,204.79,154.78
2015-03-29,452,206.56,178.06
2015-03-30,453,205.35,170.43
2015-03-31,454,205.53,178.82
2015-04-01,455,208.19,172.68
2015-04-02,456,210.64,150.66
2015-04-03,457,201.21,144.24
2015-04-04,458,206.25,167.81
2015-04-05,459,207.51,162.68
2015-04-06,460,206.91,183.73
2015-04-07,461,206.22,163.54
2015-04-08,462,204.22,177.24
2015-04-09,463,205.06,171.79
2015-04-10,464,208.41,191.66
2015-04-11,465,209.13,177.64
2015-04-12,466,207.18,177.19
2015-04-13,467,205.33,163.53
2015-04-14,468,207.21,178.98
2015-04-15,469,206.55,181.44
2015-04-16,470,208.14,174.82
2015-04-17,471,207.3,182.47
2015-04-18,472,205.84,163.73
2015-04-19,473,207.48,173.3
2015-04-20,474,204.75,177.43
2015-04-21,475,208.77,173.43
2015-04-22,476,209.5,189.51
2015-04-23,477,204.8,179.89
2015-04-24,478,208.01,169.84
2015-04-25,479,205.2,164.46
2015-04-26,480,209.34,177.04
2015-04-27,481,209.02,169.61
2015-04-28,482,206.77,171.12
2015-04-29,483,209.23,165.83
2015-04-30,484,206.4,182.63
2015-05-01,485,205.99,176.28
2015-05-02,486,206.15,177.73
2015-05-03,487,207.02,183.65
2015-05-04,488,206.67,152.13
2015-05-05,489,207.64,176.34
2015-05-06,490,206.12,172.31
2015-05-07,491,208.89,183.84
2015-05-08,492,209.42,182.52
2015-05-09,493,206.4,180.3
2015-05-10,494,204.56,186.62
2015-05-11,495,208.87,158.31
2015-05-12,496,209.72,167.08
2015-05-13,497,207.13,187.89
2015-05-14,498,204.9,188.43
2015-05-15,499,208.02,168.3
2015-05-16,500,210.55,189.76
2015-05-17,501,203.76,181.86
2015-05-18,502,208.49,163.18
2015-05-19,503,206.92,169.59
2015-05-20,504,205.85,178.2
2015-05-21,505,208.57,176.33
2015-05-22,506,204.99,192.26
2015-05-23,507,208.2,182.84
2015-05-24,508,210.25,187.45
2015-05-25,509,207.99,170.06
2015-05-26,510,205.9,162.69
2015-05-27,511,204.11,167.47
2015-05-28,512,205.12,188.54
2015-05-29,513,204.01,192.09
2015-05-30,514,210.91,170.95
2015-05-31,515,207.23,174.75
2015-06-01,516,205.65,149.95
2015-06-02,517,205.16,187.44
2015-06-03,518,205.64,162.3
2015-06-04,519,207.11,185.09
2015-06-05,520,205.23,187.53
2015-06-06,521,211.17,166.06
2015-06-07,522,206.34,166.81
2015-06-08,523,206.28,182.74
2015-06-09,524,208.48,191.01
2015-06-10,525,210.78,173.9
2015-06-11,526,210.54,168.5
2015-06-12,527,206.93,179.58
2015-06-13,528,208.43,190.04
2015-06-14,529,208.23,166.11
2015-06-15,530,209.01,169.93
2015-06-16,531,208.48,189.08
2015-06-17,532,206.09,177.55
2015-06-18,533,205.47,166.79
2015-06-19,534,208.36,177.41
2015-06-20,535,205.66,180.04
2015-06-21,536,210.77,189.63
2015-06-22,537,208.13,180.21
2015-06-23,538,206.02,175.44
2015-06-24,539,207.44,159.89
2015-06-25,540,207.09,181.87
2015-06-26,541,207.85,182.23
2015-06-27,542,210.02,180.91
2015-06-28,543,205.26,175.25
2015-06-29,544,204.42,175.64
2015-06-30,545,208.85,187.54
2015-07-01,546,207.84,173.45
2015-07-02,547,208.53,165.64
2015-07-03,548,209.11,187.26
2015-07-04,549,207.87,173.47
2015-07-05,550,209.85,176.02
2015-07-06,551,206.48,180.49
2015-07-07,552,208.41,175.2
2015-07-08,553,206.63,175.63
2015-07-09,554,206.05,164.67
2015-07-10,555,209.56,191.78
2015-07-11,556,209.48,165.23
2015-07-12,557,204.47,187.87
2015-07-13,558,206.13,163.32
2015-07-14,559,208.97,171.16
2015-07-15,560,210.54,175.34
2015-07-16,561,207.08,185.61
2015-07-17,562,208.06,179.62
2015-07-18,563,205.62,171.06
2015-07-19,564,213.48,169.49
2015-07-20,565,209.43,188.76
2015-07-21,566,210.28,179.8
2015-07-22,567,209.82,183.31
2015-07-23,568,210.39,177.7
2015-07-24,569,209.75,174.05
2015-07-25,570,207.88,184.27
2015-07-26,571,210.05,182.34
2015-07-27,572,208.74,189.78
2015-07-28,573,211.19,182.3
2015-07-29,574,207.14,162.96
2015-07-30,575,207.54,185.14
2015-07-31,576,209.96,179.94
2015-08-01,577,211.21,178.12
2015-08-02,578,208.96,147.58
2015-08-03,579,207.26,168.67
2015-08-04,580,208.46,179.97
2015-08-05,581,207.72,171.44
2015-08-06,582,212.52,184.14
2015-08-07,583,210.54,186.02
2015-08-08,584,211.29,180.49
2015-08-09,585,209.38,169.75
2015-08-10,586,207.68,182.12
2015-08-11,587,211.15,184.24
2015-08-12,588,212.13,178.93
2015-08-13,589,210.0,160.74
2015-08-14,590,208.8,166.37
2015-08-15,591,211.03,188.56
2015-08-16,592,208.14,175.66
2015-08-17,593,210.42,162.12
2015-08-18,594,207.49,175.93
2015-08-19,595,206.98,177.82
2015-08-20,596,210.07,186.25
2015-08-21,597,209.63,183.86
2015-08-22,598,212.78,185.82
2015-08-23,599,208.42,170.86
2015-08-24,600,209.05,162.29
2015-08-25,601,206.74,171.06
2015-08-26,602,205.29,189.82
2015-08-27,603,205.48,161.1
2015-08-28,604,209.99,188.83
2015-08-29,605,206.72,162.24
2015-08-30,606,211.34,167.93
2015-08-31,607,211.95,182.51
2015-09-01,608,208.55,170.57
2015-09-02,609,212.45,179.44
2015-09-03,610,209.6,168.06
2015-09-04,611,211.41,182.39
2015-09-05,612,208.73,187.49
2015-09-06,613,211.11,166.2
2015-09-07,614,207.32,183.3
2015-09-08,615,210.47,184.13
2015-09-09,616,208.32,186.54
2015-09-10,617,208.99,156.41
2015-09-11,618,210.53,189.44
2015-09-12,619,209.63,168.17
2015-09-13,620,209.15,176.85
2015-09-14,621,210.77,176.23
2015-09-15,622,210.94,170.63
2015-09-16,623,206.57,168.69
2015-09-17,624,210.48,173.18
2015-09-18,625,210.72,182.39
2015-09-19,626,207.89,185.71
2015-09-20,627,210.18,177.3
2015-09-21,628,206.77,185.41
2015-09-22,629,212.31,183.52
2015-09-23,630,208.97,190.84
2015-09-24,631,209.31,166.38
2015-09-25,632,211.87,183.16
2015-09-26,633,209.21,179.16
2015-09-27,634,210.71,182.16
2015-09-28,635,207.43,181.71
2015-09-29,636,208.4,187.06
2015-09-30,637,206.77,179.15
2015-10-01,638,209.15,184.82
2015-10-02,639,211.65,178.79
2015-10-03,640,210.05,178.91
2015-10-04,641,211.38,175.19
2015-10-05,642,207.58,189.17
2015-10-06,643,207.88,186.53
2015-10-07,644,208.73,192.2
2015-10-08,645,210.82,176.44
2015-10-09,646,210.4,179.01
2015-10-10,647,209.67,204.87
2015-10-11,648,210.97,192.0
2015-10-12,649,209.43,165.6
2015-10-13,650,209.71,187.64
2015-10-14,651,212.37,185.91
2015-10-15,652,208.61,176.07
2015-10-16,653,210.16,177.95
2015-10-17,654,213.03,174.57
2015-10-18,655,210.03,175.41
2015-10-19,656,211.25,173.96
2015-10-20,657,208.64,167.94
2015-10-21,658,213.78,179.88
2015-10-22,659,205.39,168.21
2015-10-23,660,207.63,185.96
2015-10-24,661,207.81,189.31
2015-10-25,662,213.17,181.76
2015-10-26,663,210.65,177.92
2015-10-27,664,209.44,186.7
2015-10-28,665,207.41,177.56
2015-10-29,666,210.72,201.52
2015-10-30,667,210.23,154.7
2015-10-31,668,208.63,156.46
2015-11-01,669,207.05,167.56
2015-11-02,670,207.84,183.96
2015-11-03,671,210.49,189.12
2015-11-04,672,210.7,176.82
2015-11-05,673,210.24,181.37
2015-11-06,674,209.81,177.99
2015-11-07,675,206.59,183.22
2015-11-08,676,210.24,201.48
2015-11-09,677,208.09,156.92
2015-11-10,678,210.25,203.56
2015-11-11,679,211.12,192.64
2015-11-12,680,208.85,177.21
2015-11-13,681,208.17,184.73
2015-11-14,682,212.22,182.81
2015-11-15,683,210.95,186.85
2015-11-16,684,208.99,185.29
2015-11-17,685,204.27,184.57
2015-11-18,686,210.19,171.52
2015-11-19,687,211.56,188.78
2015-11-20,688,212.56,176.92
2015-11-21,689,208.98,177.68
2015-11-22,690,209.06,188.69
2015-11-23,691,209.48,176.69
2015-11-24,692,212.06,186.22
2015-11-25,693,208.05,183.26
2015-11-26,694,210.18,182.78
2015-11-27,695,208.57,168.3
2015-11-28,696,210.98,187.33
2015-11-29,697,207.35,181.41
2015-11-30,698,211.22,205.02
2015-12-01,699,209.49,170.95
2015-12-02,700,210.05,192.4
2015-12-03,701,211.57,178.86
2015-12-04,702,212.82,181.09
2015-12-05,703,207.15,196.73
2015-12-06,704,212.57,182.64
2015-12-07,705,211.69,191.32
2015-12-08,706,210.0,183.27
2015-12-09,707,213.41,175.7
2015-12-10,708,211.0,180.65
2015-12-11,709,213.22,180.26
2015-12-12,710,209.46,179.42
2015-12-13,711,208.93,199.92
2015-12-14,712,213.13,189.32
2015-12-15,713,215.02,168.84
2015-12-16,714,211.98,202.59
2015-12-17,715,212.51,188.0
2015-12-18,716,209.79,191.05
2015-12-19,717,208.1,196.4
2015-12-20,718,210.32,174.32
2015-12-21,719,213.79,188.69
2015-12-22,720,207.08,178.58
2015-12-23,721,209.82,178.74
2015-12-24,722,207.0,176.97
2015-12-25,723,211.06,184.32
2015-12-26,724,212.61,196.23
2015-12-27,725,208.39,188.98
2015-12-28,726,210.07,185.47
2015-12-29,727,213.56,197.43
2015-12-30,728,210.74,159.98
2015-12-31,729,208.46,181.74
2016-01-01,730,208.32,184.85
2016-01-02,731,206.94,183.35
2016-01-03,732,212.53,198.89
2016-01-04,733,209.5,184.05
2016-01-05,734,213.11,198.97
2016-01-06,735,212.76,183.22
2016-01-07,736,209.72,189.5
2016-01-08,737,210.0,183.91
2016-01-09,738,212.63,182.47
2016-01-10,739,211.38,189.19
2016-01-11,740,211.64,189.96
2016-01-12,741,207.82,172.24
2016-01-13,742,212.93,194.78
2016-01-14,743,209.39,179.88
2016-01-15,744,206.62,181.3
2016-01-16,745,209.94,156.11
2016-01-17,746,212.03,184.42
2016-01-18,747,215.4,168.25
2016-01-19,748,210.47,192.1
2016-01-20,749,208.58,174.17
2016-01-21,750,215.5,183.11
2016-01-22,751,211.59,182.65
2016-01-23,752,210.76,170.46
2016-01-24,753,209.14,182.77
2016-01-25,754,209.3,170.38
2016-01-26,755,214.28,184.54
2016-01-27,756,210.8,192.46
2016-01-28,757,210.28,196.31
2016-01-29,758,210.35,197.9
2016-01-30,759,214.52,184.64
2016-01-31,760,210.22,173.91
2016-02-01,761,212.67,190.34
2016-02-02,762,211.96,200.54
2016-02-03,763,211.92,176.14
2016-02-04,764,209.71,196.73
2016-02-05,765,212.79,184.27
2016-02-06,766,214.71,160.76
2016-02-07,767,211.4,185.25
2016-02-08,768,209.68,202.01
2016-02-09,769,208.95,189.85
2016-02-10,770,211.93,195.73
2016-02-11,771,211.02,188.35
2016-02-12,772,211.37,167.79
2016-02-13,773,211.62,161.25
2016-02-14,774,208.66,171.86
2016-02-15,775,213.19,182.29
2016-02-16,776,212.11,175.2
2016-02-17,777,211.51,176.74
2016-02-18,778,212.13,193.16
2016-02-19,779,213.54,201.13
2016-02-20,780,211.81,168.17
2016-02-21,781,210.01,173.02
2016-02-22,782,214.06,185.96
2016-02-23,783,210.88,182.4
2016-02-24,784,210.31,160.4
2016-02-25,785,208.65,212.14
2016-02-26,786,211.81,192.3
2016-02-27,787,209.71,187.18
2016-02-28,788,210.78,165.14
2016-02-29,789,212.73,189.0
2016-03-01,790,211.92,173.61
2016-03-02,791,213.9,192.11
2016-03-03,792,212.49,188.85
2016-03-04,793,211.09,185.21
2016-03-05,794,211.25,189.26
2016-03-06,795,210.91,178.84
2016-03-07,796,213.23,188.32
2016-03-08,797,212.0,161.46
2016-03-09,798,211.15,192.26
2016-03-10,799,213.67,185.11
2016-03-11,800,212.19,211.25
2016-03-12,801,211.08,186.0
2016-03-13,802,209.01,159.72
2016-03-14,803,212.92,201.83
2016-03-15,804,212.54,178.79
2016-03-16,805,212.18,174.54
2016-03-17,806,211.22,184.69
2016-03-18,807,210.44,197.44
2016-03-19,808,211.67,205.08
2016-03-20,809,212.6,182.4
2016-03-21,810,211.89,187.94
2016-03-22,811,211.88,188.03
2016-03-23,812,211.24,178.71
2016-03-24,813,212.87,181.5
2016-03-25,814,212.68,185.01
2016-03-26,815,210.72,184.3
2016-03-27,816,213.76,198.04
2016-03-28,817,213.84,168.03
2016-03-29,818,213.9,192.29
