customer_id,age,gender,signup_date,last_purchase_date,recency_days,total_purchases,avg_purchase_value,total_spent,visits_last_30d,visits_last_90d,app_logins_last_30d,support_calls,complaints,loyalty_member,promo_emails_sent,promo_clicks,promo_response_rate,avg_days_between_purchases,frequency_6m,monetary_6m,engagement_score,churn_prob,churn_label
CUST1015,41,Male,2024-04-23,2025-05-26,120,10,58.52,585.2,1,5,1,0,0,1,9,0,0.0,51.8,4,141.39,0.465,0.295,0
CUST1016,20,Male,2023-02-08,2025-02-22,213,11,40.64,447.04,1,3,3,0,1,1,1,0,0.0,87.1,3,101.38,0.462,0.682,1
CUST1017,39,Female,2020-04-13,2025-01-28,238,11,11.98,131.78,1,2,0,0,0,0,9,0,0.0,180.8,1,12.88,0.089,1.0,1
CUST1018,19,Female,2021-02-03,2025-07-30,55,17,14.56,247.52,1,2,1,0,0,1,11,0,0.0,99.6,5,69.71,0.332,0.0,0
CUST1019,41,Female,2024-02-21,2024-10-09,349,15,80.39,1205.85,0,0,1,0,0,0,7,0,0.0,38.7,4,212.47,0.043,0.967,1
CUST1020,61,Male,2024-09-21,2025-06-09,106,11,56.32,619.52,0,1,3,1,0,1,4,0,0.0,33.4,4,249.67,0.373,0.377,0
CUST1021,47,Female,2023-04-06,2024-11-09,318,10,79.47,794.7,0,1,3,0,0,1,11,0,0.0,90.1,2,146.01,0.373,0.405,0
CUST1022,55,Male,2023-11-23,2025-08-07,47,7,83.41,583.87,1,3,2,1,0,0,10,0,0.0,95.7,5,460.85,0.219,0.0,0
CUST1023,19,Female,2020-09-17,2025-07-25,60,14,64.53,903.42,1,4,6,0,0,1,6,0,0.0,130.9,1,61.18,0.635,0.098,0
CUST1024,38,Female,2024-05-09,2024-10-22,336,7,23.05,161.35,2,4,3,0,0,1,1,0,0.0,71.7,3,64.71,0.506,0.587,1
CUST1025,50,Female,2020-04-03,2025-08-29,25,12,65.69,788.28,2,2,4,0,0,1,7,0,0.0,166.6,2,87.13,0.46,0.0,0
CUST1026,29,Male,2025-03-27,2024-12-06,291,11,101.99,1121.89,2,3,1,0,0,0,10,10,1.0,16.4,2,142.87,0.276,0.769,1
CUST1027,39,Male,2021-09-16,2025-01-10,256,17,46.58,791.86,0,4,0,0,0,1,5,0,0.0,86.4,1,55.11,0.378,0.755,1
CUST1028,61,Male,2022-01-11,2025-09-16,7,13,70.22,912.86,5,8,1,0,0,1,7,0,0.0,103.9,3,155.28,0.598,0.13,0
CUST1029,42,Female,2021-03-04,2025-06-03,112,17,59.59,1013.03,0,1,1,0,0,0,0,0,0.0,97.9,3,212.11,0.087,0.859,1
CUST1030,66,Male,2024-12-05,2024-10-04,354,22,101.17,2225.74,2,3,4,0,0,0,0,0,0.0,13.3,3,278.97,0.305,0.646,1
CUST1031,44,Male,2020-10-02,2025-01-14,252,17,39.67,674.39,2,5,1,0,0,1,11,0,0.0,106.9,3,81.1,0.465,0.396,0
CUST1032,59,Male,2025-04-03,2025-03-28,179,12,94.61,1135.32,3,5,2,0,0,0,6,5,0.833,14.4,0,0.0,0.391,0.874,1
CUST1033,45,Female,2024-09-13,2025-03-01,206,8,48.75,390.0,1,2,1,0,0,1,7,0,0.0,46.9,6,212.16,0.332,0.517,1
CUST1034,33,Male,2023-12-10,2024-11-25,302,12,39.18,470.16,1,3,1,0,0,1,2,0,0.0,54.4,2,90.54,0.376,0.645,1
CUST1035,32,Female,2022-11-12,2025-05-20,126,10,63.3,633.0,1,1,2,0,0,1,4,0,0.0,104.6,3,161.13,0.33,0.327,0
CUST1036,64,Female,2021-04-12,2025-07-30,55,7,70.27,491.89,0,0,2,0,0,0,11,0,0.0,232.1,4,235.34,0.086,0.322,0
CUST1037,68,Male,2023-03-28,2025-02-22,213,15,117.35,1760.25,1,1,4,0,0,1,0,0,0.0,60.7,2,184.93,0.416,0.517,1
CUST1038,61,Female,2025-08-23,2025-09-10,13,19,69.59,1322.21,1,2,5,0,1,0,6,0,0.0,1.6,4,191.58,0.303,0.0,0
CUST1039,69,Female,2023-03-12,2025-08-27,27,10,65.8,658.0,1,1,0,0,0,0,4,0,0.0,92.6,2,117.48,0.044,0.338,0
CUST1040,20,Male,2022-01-05,2025-07-08,77,14,107.88,1510.32,3,6,1,0,0,1,7,0,0.0,96.9,5,365.73,0.51,0.185,0
CUST1041,54,Female,2024-12-14,2025-02-20,215,15,78.03,1170.45,4,6,1,0,0,0,7,0,0.0,18.9,4,343.73,0.31,0.416,0
CUST1042,68,Female,2021-01-22,2024-09-03,385,15,40.67,610.05,0,5,3,0,0,0,8,0,0.0,113.7,2,66.88,0.351,0.615,1
CUST1043,24,Female,2024-05-29,2024-09-24,364,14,100.68,1409.52,2,6,2,0,0,1,6,6,1.0,34.4,4,332.2,0.652,0.365,0
CUST1044,38,Female,2022-09-29,2025-04-23,153,8,37.81,302.48,0,1,2,0,0,0,10,0,0.0,136.2,5,167.2,0.13,1.0,1
CUST1045,26,Female,2022-05-29,2025-09-10,13,7,40.52,283.64,1,4,3,1,0,0,0,0,0.0,173.3,2,70.22,0.306,0.094,0
CUST1046,56,Male,2022-11-14,2025-03-21,186,9,34.54,310.86,1,2,0,0,0,1,2,0,0.0,116.0,0,0.0,0.289,0.907,1
CUST1047,35,Male,2025-08-16,2024-11-16,311,11,31.91,351.01,1,2,2,1,1,1,7,0,0.0,3.5,4,118.35,0.375,0.581,1
CUST1048,21,Male,2022-03-17,2024-09-18,370,15,70.0,1050.0,1,1,4,0,0,1,2,0,0.0,85.7,1,45.7,0.416,0.747,1
CUST1049,42,Male,2022-07-29,2025-09-17,6,20,52.26,1045.2,1,4,5,0,0,0,7,0,0.0,57.6,3,151.16,0.392,0.095,0
CUST1050,31,Male,2021-01-15,2025-09-21,2,10,5.0,50.0,2,4,4,0,0,1,0,0,0.0,171.2,4,13.82,0.549,0.0,0
CUST1051,67,Female,2023-06-01,2025-06-05,110,19,51.95,987.05,3,5,0,0,0,0,4,0,0.0,44.5,1,32.13,0.222,0.506,1
CUST1052,26,Male,2025-01-29,2025-01-29,237,13,44.46,577.98,0,3,1,0,0,0,3,0,0.0,18.2,3,157.71,0.176,0.554,1
CUST1053,43,Male,2022-06-27,2024-09-26,362,14,86.78,1214.92,1,3,3,0,0,1,4,0,0.0,84.6,2,184.69,0.462,0.409,0
CUST1054,19,Male,2024-07-17,2025-01-28,238,15,43.1,646.5,2,5,2,0,0,0,7,0,0.0,28.9,2,102.41,0.308,0.368,0
CUST1055,37,Female,2025-03-26,2024-12-24,273,17,136.18,2315.06,0,2,3,0,0,0,9,0,0.0,10.6,3,362.26,0.217,0.576,1
CUST1056,45,Male,2025-07-02,2024-12-04,293,10,101.9,1019.0,0,2,1,0,0,1,3,0,0.0,8.3,1,93.68,0.332,0.667,1
CUST1057,64,Female,2022-07-08,2025-02-09,226,10,48.3,483.0,2,2,2,0,0,1,10,0,0.0,117.3,5,169.29,0.375,0.623,1
CUST1058,24,Male,2021-01-01,2024-09-18,370,11,94.49,1039.39,2,4,1,0,0,1,3,0,0.0,156.9,7,494.85,0.421,0.405,0
CUST1059,61,Male,2020-04-29,2025-09-09,14,12,75.76,909.12,2,2,1,0,1,0,2,0,0.0,164.4,1,83.57,0.132,0.444,0
CUST1060,25,Male,2023-12-06,2025-03-16,191,11,67.0,737.0,0,0,1,0,0,0,6,0,0.0,59.7,1,54.52,0.043,1.0,1
CUST1061,64,Male,2024-01-16,2025-05-28,118,13,84.08,1093.04,0,0,3,1,0,0,2,0,0.0,47.4,0,0.0,0.129,1.0,1
CUST1062,52,Female,2021-02-18,2025-08-27,27,12,61.62,739.44,0,0,5,0,0,0,11,0,0.0,139.8,3,189.56,0.214,0.0,0
CUST1063,31,Female,2021-09-11,2025-03-06,201,14,67.21,940.94,2,4,2,1,1,1,2,0,0.0,105.2,3,142.41,0.463,0.531,1
CUST1064,34,Female,2021-09-09,2025-08-16,38,8,84.7,677.6,0,1,3,0,0,1,10,0,0.0,184.4,6,459.65,0.373,0.178,0
CUST1065,53,Male,2025-05-13,2024-12-25,272,14,121.57,1701.98,0,1,3,0,0,1,9,0,0.0,9.5,3,367.06,0.373,0.443,0
CUST1066,67,Male,2020-07-06,2025-02-05,230,14,67.54,945.56,0,1,3,0,0,1,4,0,0.0,136.1,4,200.19,0.373,0.572,1
CUST1067,57,Male,2024-12-14,2025-06-30,85,15,46.39,695.85,1,2,3,0,0,1,4,0,0.0,18.9,3,152.87,0.417,0.0,0
CUST1068,21,Male,2022-03-23,2025-05-21,125,10,5.0,50.0,1,4,2,0,1,1,5,0,0.0,128.0,3,13.9,0.463,0.484,1
CUST1069,19,Female,2022-07-16,2024-11-28,299,13,118.84,1544.92,1,2,0,0,0,0,7,4,0.571,89.6,3,249.26,0.146,0.931,1
CUST1070,23,Male,2024-04-02,2025-08-30,24,12,52.1,625.2,1,1,1,0,1,1,9,0,0.0,44.9,1,49.48,0.287,0.226,0
CUST1071,59,Male,2021-07-20,2025-05-02,144,8,76.04,608.32,2,3,3,0,0,1,5,0,0.0,190.8,1,91.23,0.462,0.855,1
CUST1072,21,Male,2025-05-18,2025-09-11,12,21,117.18,2460.78,3,5,0,0,0,0,11,0,0.0,6.1,5,404.45,0.222,0.051,0
CUST1073,46,Male,2025-03-25,2025-02-24,211,15,66.83,1002.45,2,8,2,1,1,0,0,0,0.0,12.1,3,218.54,0.441,0.766,1
CUST1074,35,Female,2020-06-27,2025-08-30,24,13,54.16,704.08,0,0,1,0,0,1,7,0,0.0,147.2,3,117.7,0.243,0.0,0
CUST1075,43,Female,2023-02-23,2025-07-18,67,7,102.59,718.13,1,3,3,0,0,0,7,0,0.0,134.7,2,219.43,0.262,0.0,0
CUST1076,61,Male,2020-05-23,2024-08-26,393,13,73.82,959.66,1,2,2,0,0,0,8,0,0.0,149.9,0,0.0,0.175,0.57,1
CUST1077,51,Other,2023-03-31,2025-07-19,66,20,77.58,1551.6,0,0,2,0,0,1,8,4,0.5,45.4,4,242.14,0.336,0.0,0
CUST1078,27,Male,2024-09-21,2025-02-03,232,13,14.31,186.03,1,2,1,0,0,1,1,0,0.0,28.2,4,45.53,0.332,0.379,0
CUST1079,53,Female,2020-11-29,2025-06-07,108,17,96.18,1635.06,0,4,3,1,0,1,1,0,0.0,103.5,3,310.33,0.506,0.52,1
CUST1080,31,Male,2023-05-26,2025-05-01,145,10,71.27,712.7,0,2,2,0,0,1,2,0,0.0,85.1,4,249.98,0.375,0.527,1
CUST1081,48,Male,2022-05-26,2025-06-05,110,18,18.85,339.3,0,1,3,0,1,0,0,0,0.0,67.6,2,39.15,0.173,0.551,1
CUST1082,65,Male,2020-11-15,2025-02-08,227,13,74.55,969.15,2,5,3,0,0,1,3,3,1.0,136.4,4,205.4,0.651,0.365,0
CUST1083,32,Female,2023-01-11,2025-06-05,110,14,5.0,70.0,2,4,1,0,0,0,3,0,0.0,70.4,2,11.12,0.221,0.461,1
CUST1084,25,Female,2020-12-24,2025-08-21,33,18,130.26,2344.68,0,3,1,0,0,1,8,4,0.5,96.3,1,133.72,0.426,0.084,0
CUST1085,31,Female,2025-03-17,2025-06-05,110,18,26.94,484.92,0,1,2,0,0,1,8,0,0.0,10.6,3,92.47,0.33,0.612,1
CUST1086,40,Male,2021-04-04,2025-01-03,263,11,108.35,1191.85,1,1,0,0,0,0,8,3,0.375,148.5,5,368.08,0.082,0.696,1
CUST1087,57,Female,2023-06-16,2024-09-20,368,13,35.61,462.93,2,3,0,0,0,0,9,0,0.0,63.8,4,136.15,0.133,0.774,1
CUST1088,38,Female,2024-07-23,2025-01-31,235,15,76.81,1152.15,1,4,3,0,0,0,6,0,0.0,28.5,2,147.39,0.306,0.567,1
CUST1089,33,Male,2022-02-01,2025-07-03,82,11,32.64,359.04,2,3,1,1,0,0,1,0,0.0,120.9,5,132.53,0.176,0.0,0
CUST1090,62,Male,2023-06-01,2025-08-13,41,10,89.91,899.1,0,1,3,0,0,0,9,0,0.0,84.5,4,314.71,0.173,0.083,0
CUST1091,35,Male,2020-05-03,2025-06-15,100,14,52.94,741.16,2,4,2,0,0,1,4,0,0.0,140.6,6,197.82,0.463,0.692,1
CUST1092,64,Female,2021-06-19,2025-09-18,5,16,74.03,1184.48,1,3,0,0,1,1,3,0,0.0,97.3,1,77.55,0.333,0.223,0
CUST1093,41,Male,2020-05-23,2025-03-28,179,10,60.45,604.5,1,5,0,0,2,0,11,0,0.0,194.9,1,56.19,0.222,0.808,1
CUST1094,43,Other,2021-10-09,2024-12-16,281,13,19.03,247.39,1,4,1,0,0,0,10,7,0.7,111.2,8,96.62,0.291,0.251,0
CUST1095,42,Male,2022-06-23,2024-11-08,319,13,75.12,976.56,1,2,1,0,0,0,7,0,0.0,91.4,1,75.76,0.132,0.949,1
CUST1096,62,Female,2022-04-24,2025-02-10,225,14,44.9,628.6,5,5,2,0,0,1,1,0,0.0,89.1,5,197.58,0.508,0.522,1
CUST1097,58,Female,2024-07-20,2024-11-13,314,19,91.36,1735.84,1,1,2,0,0,0,5,5,1.0,22.6,3,170.12,0.23,0.374,0
CUST1098,46,Male,2023-11-24,2024-09-24,364,15,52.92,793.8,0,1,3,0,0,1,4,0,0.0,44.6,4,250.16,0.373,0.525,1
CUST1099,32,Female,2022-10-03,2025-02-07,228,9,57.7,519.3,0,1,3,0,0,1,11,0,0.0,120.7,3,202.43,0.373,0.627,1
