Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
23,Male,0,9.16428,5.872486669,8.69718,4.918866313,Unknown,ENTP
24,Male,0,9.29703,4.479890509,6.31892,6.005298984,Others,ENFJ
26,Male,1,6.09378,5.112136573,6.66914,4.516989982,Arts,ENTP
28,Male,0,7.0274,7.05332892,2.33523,2.872456554,Others,ESFP
26,Male,1,9.09553,5.56802286,7.95344,4.160947447,Unknown,ENTP
19,Male,1,3.4082,5.631814961,7.93656,4.701198536,Technology,INTP
26,Female,1,9.46241,5.104025259,7.30435,6.397664759,Unknown,ENTP
31,Female,0,2.56874,4.433880539,3.54847,0.604564836,Technology,INFP
21,Female,0,2.66177,4.068774546,5.68962,4.640977717,Unknown,ENTP
24,Female,1,1.88811,3.90741968,8.0177,6.126929164,Arts,INTP
30,Male,0,2.00481,5.196269361,6.55672,5.306196531,Sports,INTJ
24,Male,0,6.88364,4.581209475,5.41283,3.639468963,Others,ENFP
23,Male,1,8.96315,5.97641707,4.32085,4.788481783,Others,ENFP
23,Female,0,6.01734,4.589277064,6.87211,2.629576841,Unknown,ENTP
28,Male,0,0.9382,5.932687717,9.10875,5.351542758,Sports,INTJ
24,Male,0,1.49917,5.518080116,1.40596,3.151219999,Technology,INFP
25,Male,1,2.76432,6.429243304,1.2722,3.148949334,Arts,ISFP
24,Male,0,3.53574,4.550431128,4.07106,5.88310091,Others,INFP
26,Female,1,9.86175,5.382027657,7.31525,4.633842075,Arts,ENTP
29,Male,1,0.26995,4.530333795,0.83122,6.850341641,Sports,INFP
27,Male,0,4.36062,6.954411549,2.87104,3.960926848,Arts,ISFP
30,Male,1,9.50487,5.438624114,6.7114,5.82852652,Unknown,ENTP
24,Female,0,7.16144,5.65368395,0.91074,5.720633549,Others,ENFP
27,Male,0,0.08683,3.354609302,7.69536,5.585193045,Unknown,INTP
35,Male,0,3.81122,3.965903628,3.0147,2.360809387,Unknown,INFP
21,Female,1,9.77428,6.092752977,9.47584,4.046542448,Unknown,ENTP
21,Female,0,5.85118,3.231838376,0.26795,3.416931867,Unknown,ENFP
30,Female,1,0.25381,4.82416168,6.22281,4.989884662,Arts,INTP
26,Female,1,3.34183,5.302004945,4.11222,4.989291891,Sports,INFP
36,Female,1,6.39014,4.931003496,1.09206,3.546053728,Technology,ENFP
35,Female,1,7.39416,4.744287515,2.17893,7.002339024,Unknown,ENFP
24,Male,1,8.17175,4.543246931,2.08314,5.86697272,Arts,ENFP
30,Female,1,2.29466,3.640958476,7.41463,5.203289392,Unknown,INTP
29,Male,0,8.77615,5.631250974,7.92755,4.674695488,Unknown,ENTP
24,Male,0,7.75465,7.0932803,9.95058,4.203262634,Unknown,ENTP
23,Male,1,8.44439,8.057957997,0.73233,5.497398425,Sports,ENFP
34,Male,0,4.54294,5.864370735,0.98676,5.046402003,Unknown,ENFP
24,Male,0,4.3518,4.857556441,1.31395,3.057190051,Others,ENFP
29,Male,0,3.91512,5.269964671,9.34633,5.835051152,Unknown,INTP
21,Male,1,6.57832,5.346074714,7.96737,5.20510371,Unknown,ENTP
27,Male,0,8.27992,6.093603846,5.70832,2.624186688,Unknown,ENFP
32,Female,0,0.17824,5.499619115,7.31777,5.940538383,Unknown,INTP
39,Female,1,0.4559,3.382767183,1.37761,6.20941951,Sports,INFP
26,Male,1,9.92489,6.334622736,8.11322,6.240575553,Unknown,ENTP
34,Female,0,8.8694,5.997843262,8.5019,4.68739707,Technology,ENTP
21,Male,0,0.05876,5.584973425,9.5826,7.332406873,Unknown,INTJ
34,Male,0,1.29894,6.204752647,8.38307,5.223050222,Unknown,ISTP
22,Male,0,6.06564,5.183755125,7.45749,3.488801343,Sports,ENTP
29,Male,1,0.03741,3.177695013,3.88491,5.524466684,Technology,INFP
27,Male,0,7.0123,5.865188615,8.71824,5.715420607,Others,ENTP
22,Male,1,8.85996,4.224183129,7.60427,6.101234626,Unknown,ENTP
23,Female,0,8.04656,3.054720718,3.08696,4.579867139,Others,ENFP
27,Male,0,5.04596,5.681542409,3.70191,7.443914643,Arts,ENFJ
32,Male,1,8.36584,2.874298569,3.33408,2.417203505,Others,ENFP
26,Male,0,7.27848,6.4740195,8.6002,4.290888226,Unknown,ESTP
26,Male,0,8.82165,5.197427999,3.54875,4.575387096,Technology,ENFP
19,Female,0,5.56669,6.073690888,2.08347,4.493126061,Arts,ENFP
29,Male,0,9.54319,7.481142397,4.69491,4.497901786,Arts,ESFP
25,Male,0,1.99498,6.289040061,1.2331,5.02697291,Unknown,ISFP
37,Female,0,9.5988,5.070206782,3.48205,4.417123168,Unknown,ENFP
20,Male,1,4.16325,7.905042665,4.94957,5.883947829,Unknown,INFP
23,Male,1,7.81921,5.136091803,6.17913,4.42371401,Others,ENFP
25,Female,1,6.61134,4.597464893,6.99191,3.821729139,Sports,ENTP
20,Male,0,3.27173,4.886455979,2.01816,5.137820051,Unknown,INFP
25,Male,1,8.35671,5.955564407,1.95275,5.144467267,Technology,ENFP
22,Male,0,9.74246,3.880291457,0.88286,7.233670079,Technology,ENFJ
33,Female,0,0.33454,6.084139109,6.79474,7.062681448,Unknown,INTJ
21,Male,1,7.68292,6.542000897,1.9337,6.470958383,Technology,ENFP
35,Female,1,8.97272,4.342897306,0.23461,6.318471754,Arts,ENFP
30,Female,1,1.67378,4.431287447,8.7884,5.562868878,Others,INTP
21,Male,0,3.55347,4.355978425,8.40096,6.923703438,Technology,INTJ
28,Female,1,5.43646,4.980506257,8.79091,4.791764923,Unknown,ENTP
26,Female,0,7.23388,7.041879537,4.0934,4.779956249,Unknown,ESFP
25,Male,0,0.95947,4.840703848,5.69551,5.601901453,Unknown,INFP
20,Male,0,4.79137,5.571364347,9.59616,5.16013674,Unknown,ENTP
25,Female,0,3.99069,0,6.44913,3.974688856,Technology,ENTP
25,Male,0,2.95427,3.968715691,9.82213,5.160056337,Unknown,INTP
20,Female,1,1.34602,5.129628607,1.82688,6.76155176,Sports,INFP
31,Male,0,3.69673,7.330920089,3.9653,5.832250239,Unknown,ESFP
31,Female,0,3.12584,4.974137764,3.83006,5.380368221,Unknown,INFP
27,Male,0,3.68075,5.102805915,1.57324,2.015686835,Arts,ENFP
21,Female,0,2.69212,5.82593005,1.55037,6.340611796,Arts,INFJ
22,Male,0,7.50284,4.267031919,9.46708,4.262467434,Arts,ENTP
32,Male,1,0.02906,4.412614851,2.77495,3.275374411,Unknown,INFP
27,Female,1,7.01765,4.185307732,3.00008,5.574738038,Arts,ENFP
28,Male,0,5.03178,6.481539585,9.40549,1.837548813,Unknown,ISTP
26,Female,1,3.58461,4.728689101,3.56728,3.316784296,Technology,ENFP
25,Female,1,8.53455,5.453776011,9.37527,5.707205056,Unknown,ENTP
23,Female,0,5.10787,4.913654653,1.43054,5.250224996,Arts,ENFP
21,Male,1,5.39407,6.270118305,2.868,5.033807473,Others,ENFP
23,Female,0,8.36351,3.074107246,2.26456,5.07460875,Others,ENFP
31,Male,0,4.31437,5.03489556,4.86697,3.812455444,Arts,INFP
26,Female,0,8.80353,6.307948999,7.00214,6.135852753,Others,ENTJ
21,Male,0,3.44567,5.155993022,4.56573,4.56812547,Unknown,INFP
21,Female,0,0.00255,4.614032662,4.05532,6.502365009,Sports,INFJ
30,Female,1,0.38778,5.250867728,8.45397,3.829010967,Arts,INTP
21,Male,0,1.93386,5.286187677,3.73781,0.399355144,Others,INFP
28,Female,0,6.29257,5.355957886,3.34833,4.936483213,Unknown,ENFP
28,Female,0,7.33741,3.672723389,2.37854,4.803263576,Unknown,ENFP
29,Male,0,6.65395,5.663407903,3.57913,3.870391619,Unknown,ENFP
32,Male,0,8.68452,6.417202853,3.86326,5.752843965,Sports,ESFJ
22,Male,0,7.06294,5.529682742,9.10415,4.235043681,Unknown,ENTP
32,Female,0,7.51419,4.912249803,8.59589,5.191579746,Unknown,ENTP
25,Male,1,3.90375,6.500931512,1.37825,6.173363485,Arts,ISFP
37,Female,0,6.25036,5.136342309,4.8031,5.333889145,Others,ENFP
28,Male,0,6.97653,4.544040638,2.58952,5.218836428,Unknown,ENFP
27,Female,1,3.15046,6.296190721,0.74235,4.288940407,Others,ISFP
26,Male,0,8.75992,3.764302416,0.97658,5.79534766,Unknown,ENFP
24,Male,0,4.01981,4.330600517,2.27509,7.170138866,Others,INFJ
23,Male,0,0.46618,5.211156226,9.40045,5.21712587,Others,INTP
25,Female,1,3.86105,4.309508486,5.40626,1.104841288,Unknown,ENFP
28,Female,0,9.56275,3.860210181,4.18498,4.206120874,Sports,ENFP
24,Female,1,7.91138,5.002405727,8.09047,6.389059212,Others,ENTP
28,Female,0,9.69113,4.394257833,3.94483,5.852089138,Unknown,ENFP
24,Male,0,3.64405,2.544389043,2.93703,3.574271144,Unknown,INFP
23,Female,0,2.47086,6.764074599,3.87464,5.34476445,Unknown,INFP
27,Female,0,2.86526,6.237091878,1.95402,4.334069625,Others,ISFP
25,Male,1,7.56141,8.376856964,3.36911,4.857444744,Unknown,ENFP
23,Male,1,9.81989,6.078462768,9.19036,5.437295542,Unknown,ENTP
22,Female,1,4.01604,4.979489989,9.30598,6.038711483,Unknown,INTP
25,Male,1,6.57605,4.556412558,9.82249,6.345938492,Arts,ENTP
22,Female,1,3.96911,5.395791409,5.36626,5.236540082,Arts,INTP
26,Female,1,5.81583,3.701334813,5.9734,3.259104009,Sports,ENTP
26,Female,0,5.82149,5.611737722,0.41818,4.666286069,Sports,ENFP
20,Male,1,7.47473,5.348013614,3.93982,4.233348004,Unknown,ENFP
29,Female,0,6.32186,4.861389196,5.3027,5.577089364,Sports,ENFJ
26,Female,0,1.20509,4.531333875,4.39009,2.707615488,Arts,INFP
26,Male,1,8.7772,5.001443401,6.92458,2.816476467,Arts,ENTP
27,Male,0,0.13862,6.491751681,8.38393,5.309078212,Unknown,ISTP
23,Male,0,6.87894,3.402620252,4.26226,2.05803559,Sports,ENFP
24,Female,0,6.30711,6.105127241,1.41853,6.841437446,Unknown,ENFJ
27,Male,0,6.25307,5.203210627,5.71142,5.747170865,Arts,ENTP
23,Male,1,4.46119,5.751720173,8.5085,7.282055615,Unknown,ENTP
21,Male,1,4.54029,5.317118927,6.46669,4.194243917,Technology,INFP
23,Male,1,9.32175,7.745172885,1.37216,5.990928998,Sports,ENFP
21,Female,1,6.27785,4.572442782,2.16259,0.137401201,Sports,ENFP
27,Male,0,9.8018,5.087066967,1.04221,3.466269346,Others,ENFP
30,Male,0,2.66149,4.174275935,0.73383,3.291243039,Sports,INFP
24,Male,0,0.33517,5.254831303,7.90422,3.523359506,Arts,INTP
24,Female,1,3.24732,5.84079123,6.88139,4.145685029,Unknown,ENTP
21,Female,0,9.4294,5.787335402,9.55176,4.879751976,Arts,ENTP
24,Female,0,9.16042,5.331095773,7.03225,5.771270436,Arts,ENTP
20,Male,0,9.11332,3.952489933,6.68115,4.302077056,Unknown,ENTP
26,Male,0,1.67073,4.189356287,9.03451,4.692998053,Arts,INTP
25,Male,0,2.42794,6.340728933,7.90601,3.824079006,Others,ISTP
27,Male,1,3.52119,5.070816307,3.68104,6.313707957,Unknown,INFP
25,Male,1,6.47027,5.899596939,5.98718,5.808403077,Unknown,ENFP
33,Male,1,8.87167,4.39334151,1.55194,4.890921884,Others,ENFP
27,Female,0,5.66844,2.169308167,1.25475,4.820368938,Unknown,ENFP
26,Male,0,3.52517,4.067731864,7.47153,5.31005995,Others,INTP
34,Female,0,9.41555,5.505082875,4.56628,3.971689341,Sports,ENFP
38,Male,0,2.28196,5.868356554,0.06259,4.75002552,Unknown,INFP
22,Female,0,8.74073,4.521117772,9.2133,6.49386658,Arts,ENTJ
26,Male,1,4.39618,4.31432774,0.29811,2.927220867,Unknown,INFP
26,Female,0,5.67389,3.520359875,3.62569,3.451864553,Arts,ENFP
21,Male,0,3.32854,6.733050062,9.97499,5.038732526,Unknown,INTP
26,Male,1,0.52501,5.262192646,6.5411,4.339797246,Arts,INTP
26,Male,0,5.0632,5.544439143,1.93059,6.161096415,Arts,INFJ
27,Female,0,5.94902,5.530870751,4.71938,7.132990794,Others,ENFJ
24,Male,0,5.4139,5.466574275,7.22891,5.021141625,Arts,ENTP
35,Male,0,2.18591,5.185386581,3.78674,3.566511346,Arts,INFP
25,Male,0,9.9735,4.292008613,3.92769,3.324816342,Arts,ENFP
27,Female,1,3.46963,4.908923293,8.03621,3.068245185,Sports,ENTP
22,Female,1,1.76214,4.62519823,5.82195,5.898282804,Others,INTP
20,Male,0,2.72299,3.582868406,4.83887,2.759118342,Technology,INFP
31,Male,1,8.31389,4.785899788,4.28733,6.43737696,Sports,ENFP
22,Male,0,8.90789,4.468188772,3.07924,3.853255207,Technology,ENFP
29,Male,1,9.03986,6.207970527,8.25065,4.321954994,Sports,ESTP
22,Male,0,9.00649,7.083397842,7.97483,3.309294677,Unknown,ENTP
24,Male,0,6.47935,5.590472536,7.18081,3.969469434,Arts,ENTP
28,Female,0,3.3046,4.268188161,0.1459,6.189468971,Others,ENFJ
20,Female,0,0.78899,6.905290467,3.10141,3.439121861,Arts,INFP
25,Male,1,3.85958,3.622455623,3.39882,5.05685064,Technology,INFP
21,Male,1,7.51679,3.889825432,1.24634,2.822397192,Unknown,ENFP
34,Female,1,4.1757,4.492232785,9.63946,3.547689879,Unknown,INTP
32,Male,0,3.84708,5.60953892,3.15739,3.445423828,Arts,INFP
23,Female,1,6.86985,5.534117356,8.59178,3.884943886,Arts,ENTP
31,Female,0,8.63052,4.737609934,7.80952,4.962209295,Technology,ENTP
25,Male,0,0.77508,5.008799012,6.024,3.395356775,Sports,INFP
24,Male,0,7.3868,3.399149077,7.47274,5.699462761,Arts,ENTP
34,Male,1,5.55523,5.992875649,4.19662,7.742740983,Arts,INFP
32,Female,0,9.16935,5.816646228,7.73055,6.123786518,Unknown,ENTJ
22,Male,1,4.71762,4.643706708,1.65674,4.512717876,Arts,INFP
21,Male,0,7.3313,5.512530246,5.55343,3.409872352,Sports,ENFP
30,Female,1,4.18485,3.45187054,3.52708,3.950226392,Unknown,ENFP
33,Male,0,1.26781,4.234294649,2.97022,6.526780567,Unknown,INFJ
32,Male,1,0.92409,2.746234112,3.0709,3.121150112,Others,INFP
21,Male,0,6.62701,4.021806805,9.02997,3.788211821,Technology,ENTP
30,Female,1,9.04099,8.296432585,5.47659,5.175108468,Others,ESFP
29,Male,1,0.1922,4.463164179,6.69732,5.732112431,Others,INTP
21,Female,0,3.38438,5.147393013,8.59556,6.522364909,Unknown,INTJ
26,Male,0,1.19621,6.140184002,5.50514,6.541671917,Technology,ISFJ
27,Female,1,7.23424,5.807969954,9.50585,5.870557061,Unknown,ENTP
21,Female,1,8.0132,4.622688029,3.96667,4.237951405,Technology,ENFP
32,Male,0,8.10571,7.776744786,7.84714,4.145925476,Unknown,ESTP
26,Male,1,3.77829,4.393735006,9.77099,6.411096349,Unknown,INTP
31,Female,0,1.08472,6.181501653,9.85418,1.977489933,Unknown,ISTP
22,Female,0,2.01341,4.473164127,6.5158,5.986684418,Arts,INTP
26,Male,0,3.66909,3.933692484,3.43723,4.303745091,Sports,INFP
26,Male,0,6.78486,4.942453285,2.65396,5.830349749,Unknown,ENFP
28,Male,1,8.19359,3.141074,5.97148,4.836263171,Unknown,ENFP
23,Male,0,6.31736,5.039280212,7.60441,7.008452305,Others,ENTJ
31,Female,0,8.05959,4.891868915,3.94202,5.235364006,Unknown,ENFP
22,Male,1,5.31362,5.538189637,5.54892,3.315254556,Unknown,INFP
30,Male,0,1.99875,4.351146363,7.98991,3.722989594,Arts,INTP
25,Male,0,7.07902,4.205472552,3.47403,6.62485292,Sports,ENFJ
29,Male,1,7.43109,6.337373113,5.6508,5.686979469,Others,ESFP
